index,mpd_id,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
1,mp-861724,3.245028018951416,4.533722400665283,3.9299793243408203,3.94173002243042,5.274424076080322,5.239758014678955,3.766132354736328,3.410005569458008,3.4261975288391113
2,mp-1183076,3.2524056434631348,6.256355285644531,3.9613800048828125,3.6587090492248535,4.351402759552002,4.10231351852417,2.3900368213653564,3.4181556701660156,3.5156192779541016
3,mp-1183068,3.1844892501831055,4.737093448638916,2.032172441482544,4.279433727264404,4.930235385894775,4.112878799438477,2.4181506633758545,3.4843688011169434,4.1835737228393555
4,mp-1183063,3.253584861755371,4.824556350708008,2.6319005489349365,4.162548065185547,6.426806449890137,4.993070602416992,2.3810079097747803,3.524350166320801,4.1302714347839355
5,mp-1183086,3.511228561401367,5.253078460693359,4.30541467666626,4.435201644897461,5.235471725463867,6.310918807983398,2.367511749267578,3.523509979248047,4.021059989929199
6,mp-862319,3.206063747406006,6.447537899017334,2.4228529930114746,4.517464637756348,4.880800724029541,4.93095588684082,2.3744916915893555,3.5651512145996094,4.275710105895996
7,mp-862786,3.172987461090088,4.302758693695068,4.938468933105469,3.558706760406494,6.178503513336182,4.25078821182251,3.5361037254333496,3.5306291580200195,3.803809642791748
8,mp-861883,3.1265411376953125,4.060801982879639,4.854187965393066,3.7043652534484863,5.311863422393799,4.002710819244385,4.121831893920898,3.4938101768493652,3.728696346282959
9,mp-867122,3.0515356063842773,5.142446994781494,4.207534313201904,3.6299147605895996,4.509816646575928,4.6091179847717285,4.369562149047852,3.5216526985168457,3.7916574478149414
10,mp-865470,3.227015972137451,6.357180118560791,4.5089030265808105,3.695768356323242,4.570896148681641,4.194052219390869,3.629002571105957,3.570754051208496,3.9619150161743164
11,mp-862683,3.2008981704711914,4.198790550231934,3.131977081298828,3.5964293479919434,4.6468281745910645,3.787442684173584,3.5044875144958496,3.488949775695801,3.8615870475769043
12,mp-1183054,3.1750574111938477,4.9993696212768555,2.2661781311035156,4.122064113616943,3.9654998779296875,4.503805160522461,3.2120423316955566,3.519700527191162,3.7596917152404785
13,mp-867241,3.942558765411377,5.750337600708008,4.6285929679870605,4.804548263549805,5.715400218963623,6.604048252105713,5.197811603546143,7.634003639221191,5.621197700500488
14,mp-861872,3.513507843017578,4.837066173553467,5.4414896965026855,4.081672191619873,6.163256645202637,6.607491970062256,2.9313905239105225,3.6617279052734375,3.6112217903137207
15,mp-1183377,3.3375024795532227,4.08828592300415,2.73112416267395,4.393585205078125,5.339141368865967,4.052750110626221,3.071666717529297,3.44984769821167,4.891002655029297
16,mp-865951,3.3368945121765137,3.2892355918884277,2.92901611328125,3.4777441024780273,4.563033580780029,4.713656425476074,3.5647101402282715,3.5089569091796875,3.8047876358032227
17,mp-866107,3.4956111907958984,5.426949977874756,3.732329845428467,5.4735589027404785,5.917203426361084,5.775918960571289,5.884322166442871,3.5835623741149902,5.930456638336182
18,mp-1183093,3.210366725921631,3.832981586456299,2.3778445720672607,4.772557735443115,5.3477702140808105,4.312664031982422,4.627740859985352,3.5177903175354004,3.828183650970459
19,mp-1183074,3.2384090423583984,4.4372429847717285,6.082040309906006,4.496567726135254,5.096466064453125,4.767126560211182,2.7622461318969727,3.5487003326416016,3.6180524826049805
20,mp-1183078,3.247570037841797,6.065368175506592,6.401032447814941,4.272110462188721,5.029792785644531,4.238164901733398,2.2928824424743652,3.5724287033081055,3.4680581092834473
21,mp-866103,3.260695457458496,6.19154167175293,5.921514511108398,4.796011447906494,5.049640655517578,6.450736045837402,2.7203798294067383,3.661505699157715,3.729680061340332
22,mp-1183079,3.2751646041870117,5.853034019470215,5.586380958557129,4.852313041687012,5.280241966247559,7.402308464050293,3.6530871391296387,3.4343714714050293,3.470210075378418
23,mp-983587,4.180028438568115,6.194058418273926,4.993490219116211,4.072450637817383,6.604400157928467,7.39127254486084,5.745354175567627,4.06802225112915,5.452508926391602
24,mp-862849,3.512092113494873,6.158577919006348,4.39816951751709,4.416897296905518,6.853364944458008,7.192776679992676,6.342759132385254,3.5201520919799805,5.638014316558838
25,mp-11107,2.719484806060791,6.5308756828308105,2.6985230445861816,4.5171799659729,3.635892391204834,7.528965950012207,6.375589370727539,3.614401340484619,5.649652004241943
26,mp-32800,5.605742931365967,7.252531051635742,6.291232585906982,4.176168918609619,6.4658403396606445,3.7675023078918457,3.194356918334961,3.646574020385742,5.539302825927734
27,mp-862698,3.4181413650512695,3.876408576965332,2.766648054122925,3.4517507553100586,3.717973232269287,6.007442474365234,3.680569648742676,3.542576789855957,3.8314208984375
28,mp-983586,3.462235450744629,5.502341270446777,4.25833797454834,4.2616448402404785,4.533240795135498,7.318925857543945,3.1981401443481445,3.6104416847229004,3.510983467102051
29,mp-865855,4.010264873504639,6.293186187744141,3.2579407691955566,5.154475212097168,7.0835676193237305,7.3147993087768555,6.020073890686035,4.5334649085998535,5.8873114585876465
30,mp-864795,3.449470043182373,6.338304042816162,4.892434597015381,4.408937454223633,4.5041985511779785,6.468927383422852,2.9898295402526855,3.685196876525879,3.5335006713867188
31,mp-1183072,3.2287044525146484,6.165736675262451,2.937033176422119,4.570140838623047,5.1236982345581055,6.5567169189453125,2.7363483905792236,3.384735584259033,3.8806862831115723
32,mp-1183073,3.350207805633545,5.600069046020508,3.9055399894714355,4.716054439544678,5.440230846405029,6.316200256347656,4.251626968383789,3.3591885566711426,6.341201305389404
33,mp-1183070,3.275808811187744,6.7097344398498535,3.246236801147461,4.542620658874512,4.250582218170166,6.703368186950684,4.2090654373168945,3.4410409927368164,3.672534942626953
34,mp-1183066,3.374732494354248,3.833648204803467,2.8497045040130615,3.498486042022705,4.187163352966309,6.483193397521973,6.320781707763672,3.513777256011963,3.927692413330078
35,mp-865535,3.1748433113098145,4.965519905090332,2.332144260406494,4.364014148712158,4.67331600189209,4.7028985023498535,6.380083084106445,3.4957780838012695,3.949708938598633
36,mp-866018,3.104823112487793,5.221489906311035,3.246901512145996,4.241168975830078,6.186119556427002,6.388427734375,6.376112461090088,3.5445432662963867,3.8133883476257324
37,mp-1183067,3.410656452178955,5.470283031463623,5.725996494293213,4.528367519378662,5.01413106918335,7.383855819702148,6.37235689163208,3.5400824546813965,3.6930160522460938
38,mp-1183106,3.133486270904541,4.949741363525391,3.5902934074401855,4.817191123962402,5.5121169090271,5.935994625091553,6.329307556152344,3.4586925506591797,5.209859371185303
39,mp-865398,3.098787307739258,4.807852268218994,3.1696534156799316,4.638275623321533,5.336429119110107,5.6239542961120605,6.290203094482422,3.5013604164123535,3.7855987548828125
40,mp-866289,2.9693000316619873,5.842166423797607,2.5126311779022217,4.447965621948242,4.525840759277344,7.223481178283691,6.280807018280029,3.532186985015869,3.802328586578369
41,mp-1183061,3.063014030456543,6.4731621742248535,2.760369062423706,4.625815391540527,4.500293731689453,6.2716474533081055,6.3323493003845215,3.5881128311157227,3.9817190170288086
42,mp-985305,3.3972840309143066,5.634547710418701,3.326913356781006,4.3937602043151855,5.734357833862305,5.25756311416626,3.229011058807373,3.3810830116271973,5.0394511222839355
43,mp-861939,3.326974868774414,6.703963756561279,2.546945571899414,4.245326995849609,4.868813991546631,5.522552967071533,3.167290687561035,3.479613780975342,4.076442718505859
44,mp-985506,3.349135398864746,6.536891460418701,3.535362720489502,4.3020830154418945,5.1125993728637695,7.262964248657227,4.3617730140686035,3.327458381652832,3.769641399383545
45,mp-866199,3.3486623764038086,5.313678741455078,4.705655574798584,3.585761070251465,4.884330749511719,6.810668468475342,3.901780128479004,3.336338520050049,3.422323226928711
46,mp-1183065,3.260207176208496,5.524448871612549,4.742705345153809,3.5269861221313477,3.784794807434082,4.181368827819824,2.516688823699951,3.4111008644104004,3.7982864379882812
47,mp-862890,3.2461085319519043,5.7615580558776855,4.506936550140381,3.6715450286865234,3.722616195678711,6.116033554077148,3.8302154541015625,3.4514665603637695,3.508772850036621
48,mp-865950,3.1814422607421875,4.511526107788086,5.748966693878174,3.495774269104004,4.213222026824951,7.1179094314575195,4.546646595001221,3.330669403076172,3.7076430320739746
49,mp-862972,3.7168354988098145,3.242584228515625,3.167996883392334,3.254612445831299,3.9478235244750977,5.593373775482178,3.8740735054016113,3.513554096221924,3.4643540382385254
50,mp-867311,3.875847816467285,3.5133156776428223,3.2999367713928223,4.150577545166016,5.470575332641602,3.943943977355957,6.11671257019043,3.647120952606201,3.4075188636779785
51,mp-862617,2.3705010414123535,8.306447982788086,2.925464153289795,4.137633323669434,3.437253952026367,6.227734088897705,6.158411979675293,7.657796859741211,5.205201625823975
52,mp-1183115,2.72045636177063,6.905566692352295,2.6297214031219482,4.553697109222412,4.395780563354492,7.536589622497559,6.360409736633301,3.8522143363952637,5.811943531036377
53,mp-867838,5.105545997619629,3.3717198371887207,3.389303684234619,3.196058750152588,5.203813552856445,5.000104904174805,3.8223118782043457,3.6672372817993164,3.9471559524536133
54,mp-866016,5.3057942390441895,3.6107101440429688,3.6351118087768555,3.3357129096984863,3.8023338317871094,7.342593193054199,6.325699329376221,3.8088531494140625,5.402062892913818
55,mp-27972,5.493908882141113,7.815217018127441,2.780759334564209,4.337242126464844,4.201808452606201,3.501870632171631,4.539887428283691,4.630740642547607,4.286418437957764
56,mp-30274,3.469902992248535,6.966599941253662,2.7752983570098877,4.432467937469482,3.7837743759155273,4.834720611572266,6.581233501434326,3.73366641998291,5.34597635269165
57,mp-867890,3.088837146759033,3.8767662048339844,4.4126410484313965,4.866072654724121,5.445769786834717,4.443666458129883,2.3621304035186768,3.573099136352539,4.688700199127197
58,mp-1183071,4.393249988555908,3.2393088340759277,3.0976996421813965,3.2975687980651855,3.677499771118164,4.766772270202637,2.5296237468719482,3.631046772003174,4.20911169052124
59,mp-864644,4.0789008140563965,3.928725242614746,5.9438886642456055,4.608550071716309,4.999888896942139,7.202278137207031,2.3796262741088867,3.7840867042541504,3.4957804679870605
60,mp-861880,3.0669851303100586,3.2877297401428223,1.8585729598999023,5.503410339355469,5.01225471496582,4.009437084197998,4.380192756652832,3.6489920616149902,4.185225963592529
61,mp-27971,6.361072540283203,6.384848117828369,3.8912353515625,4.340823173522949,4.962906360626221,4.363245487213135,4.009913444519043,7.462656021118164,3.8227715492248535
62,mp-30273,4.266257286071777,6.458611965179443,3.3476829528808594,4.434481143951416,12.527802467346191,6.9829277992248535,6.58252477645874,3.8909497261047363,6.2423248291015625
