,feature,pearson_corr,pearson_p,spearman_corr,spearman_p
1,nelements,-0.16329377032276843,0.10452026725185279,-0.18978899220152554,0.058590138365840747
4,density_atomic,0.11927531144154135,0.237212780997601,0.14597059705970594,0.1473018152352785
20,mean_step,-0.10371289852475185,0.3044854705725162,-0.16944494449444944,0.09191983231206009
2,volume,0.09507681654732363,0.34673129346428516,0.11523552355235524,0.2535890195056011
11,is_gap_direct,0.08631499129208857,0.3931642124485995,0.11951748174574411,0.23625502349358798
12,is_metal,-0.08229711777543776,0.4156412498025129,-0.08619026743137234,0.3938508536323253
13,is_magnetic,-0.07324631048424092,0.4689258628981634,-0.04252312942316579,0.6744305338708834
16,total_magnetization_normalized_formula_units,-0.07030696123142048,0.4869981938568983,-0.12377590708659275,0.21985204066931086
18,num_unique_magnetic_sites,-0.06816046543956789,0.5004261121981959,-0.05007235350099463,0.6207845623576979
15,total_magnetization_normalized_vol,-0.0600072721697879,0.5531388995406747,-0.11859334266347696,0.23992439691507933
0,nsites,0.057542621064773564,0.5695847375453308,0.08692292034619861,0.3898276216049993
5,uncorrected_energy_per_atom,-0.05609391007304195,0.5793575074748955,-0.05028502850285028,0.619299971051593
3,density,-0.05237984359293086,0.604759358145901,-0.07576357635763577,0.4537438250234186
9,is_stable,-0.04114972963936024,0.6843781902116668,-0.022631226863874362,0.8231498266588406
8,energy_above_hull,0.04114972963936022,0.6843781902116668,0.022631226863874362,0.8231498266588406
10,band_gap,0.03698817088516374,0.7148453493810792,0.06428771802308723,0.5251333706807857
14,total_magnetization,-0.03648391762017987,0.7185687685269629,-0.10971141626258925,0.2772115608925732
7,formation_energy_per_atom,0.025345596522015915,0.8023479331285649,0.03072307230723072,0.7615547856503877
17,num_magnetic_sites,-0.016873446018901166,0.8676652032163255,-0.04037525793905675,0.6900117583124853
6,energy_per_atom,0.011362337067512945,0.9106660572670107,0.1535313531353135,0.12724211395470092
19,theoretical,0.00944987456111055,0.925655116502819,-0.008400420031502624,0.9338916850838423
