mpd_id,formula,elements,nsites,nelements,volume,density,density_atomic,deprecated,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,band_gap,efermi,is_gap_direct,is_metal,is_magnetic,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,universal_anisotropy,homogeneous_poisson,theoretical,cbm,vbm,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed
mp-2149,NpIr2,"Np,Ir",6,2,108.97888021482,18.937897550046,18.1631467024701,False,-63.3657910416667,-63.3657910416667,-0.78481823124999,0,True,-0.784818231249993,0,11.74433129,False,True,True,7.3723502,0.067649348070631,3.6861751,2,1,,,False,,,,,,,,,,,,,
mp-2596,NpN,"Np,N",2,2,30.3843501243325,13.7177997759629,15.1921750621662,False,-47.70503867,-47.70503867,-1.62855756875,0,True,-0.261242556874997,0,13.1529128,False,True,True,3.5799649,0.117822658222105,3.5799649,1,1,0.479,0.262,False,,,,,,,,,,,,,
mp-1532,NpNi2,"Np,Ni",6,2,88.2412293343265,13.3378270118556,14.7068715557211,False,-35.860940015,-35.860940015,-0.198391397916665,0,True,-0.005656860750001,0,12.54023685,False,True,True,7.7059,0.087327659169434,3.85295,6,2,,,False,,,,,,,,,,,,,
mp-1025137,NpNi5,"Np,Ni",6,2,79.8803862008725,11.0272523573813,13.3133977001454,False,-24.06305106,-24.06305106,-0.240918171458332,0,True,-0.141722472499999,0,9.60178327,False,True,True,1.8972674,0.023751354872383,1.8972674,6,4,,,True,,,,,,,,,,,,,
mp-2616,NpO2,"Np,O",3,2,39.8701303854707,11.2034501003613,13.2900434618236,False,-35.4184192733333,-11.21577141,-3.60120417958334,0,True,-0.382585069916668,0,10.33905318,False,True,True,2.9999999,0.075244296193554,2.9999999,1,1,0.778,0.314,False,,,,,,,,,,,,,
mp-10108,NpP,"Np,P",2,2,45.9558998588435,9.68278070914852,22.9779499294217,False,-47.442732775,-47.442732775,-1.42958885336309,0,True,-0.335345034218754,0,9.9213743,False,True,True,3.7745966,0.08213519072837,3.7745966,1,1,,,False,,,,,,,,,,,,,
mp-18560,NpPO4F,"Np,P,O,F",28,4,389.405259685674,5.98655505352405,13.9073307030598,False,-8.48967024214286,-8.94824167071429,-3.22410601334184,0,True,-0.155445067261903,0,4.67186634,False,True,True,11.9995296,0.030815016750636,2.9998824,4,1,,,False,,,,,,,,,,,,,
mp-1188998,NpPd3,"Np,Pd",16,2,284.296372078364,12.9961765524367,17.7685232548977,False,-38.71999689375,-38.71999689375,-0.743603803437501,0,True,-0.743603803437501,0,7.95949192,False,True,True,14.5332439,0.051120046990941,3.633310975,4,4,,,False,,,,,,,,,,,,,
mp-1066577,NpPt,"Np,Pt",4,2,92.7627266408073,15.4694107867494,23.1906816602018,False,-68.2754816525,-68.2754816525,-1.01951743687501,0,True,-0.39119632625001,0,10.14640186,False,True,True,8.0920281,0.087233616270613,4.04601405,2,1,,,False,,,,,,,,,,,,,
mp-1105856,NpPt3,"Np,Pt",16,2,285.343443340076,19.1401849309389,17.8339652087548,False,-60.31432222375,-60.31432222375,-0.942481665937492,0,True,-0.432722947499996,0,9.33109651,False,True,True,12.6442226,0.044312294167314,3.16105565,4,2,,,False,,,,,,,,,,,,,
