val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
0.8462490439414978,1.6093521118164062,0,9,,
,,0,9,0.8664491772651672,3.248357057571411
0.7426342368125916,1.4789512157440186,1,19,,
,,1,19,0.6770947575569153,2.454144239425659
0.7112915515899658,1.337064504623413,2,29,,
,,2,29,0.46146145462989807,1.6082602739334106
0.5598665475845337,1.052181363105774,3,39,,
,,3,39,0.33285191655158997,1.1613640785217285
0.5686044096946716,0.8521238565444946,4,49,,
,,4,49,0.2792307138442993,0.8694789409637451
0.5938404202461243,0.7658492922782898,5,59,,
,,5,59,0.2565229535102844,0.6669021248817444
0.6569924354553223,0.8096960186958313,6,69,,
,,6,69,0.24133135378360748,0.7166147232055664
0.5417500734329224,0.7222901582717896,7,79,,
,,7,79,0.18276850879192352,0.3160654306411743
0.5297179222106934,0.6492426991462708,8,89,,
,,8,89,0.20476208627223969,0.5151454210281372
0.6298334002494812,0.6510229706764221,9,99,,
,,9,99,0.2038516253232956,0.456783652305603
0.5739453434944153,0.7669755816459656,10,109,,
,,10,109,0.17959696054458618,0.39246922731399536
0.5963243842124939,0.8875336050987244,11,119,,
,,11,119,0.1399306356906891,0.306492418050766
0.5677592158317566,0.8904187083244324,12,129,,
,,12,129,0.1568419635295868,0.32868897914886475
0.5068951845169067,0.7821516990661621,13,139,,
,,13,139,0.16172514855861664,0.3150603771209717
0.4846283197402954,0.8004865646362305,14,149,,
,,14,149,0.11943437904119492,0.26800233125686646
0.5348703265190125,0.8767027854919434,15,159,,
,,15,159,0.15779243409633636,0.5299358367919922
0.5529389381408691,0.8356783390045166,16,169,,
,,16,169,0.1191917359828949,0.2588721513748169
0.5195236206054688,0.7926599979400635,17,179,,
,,17,179,0.141959086060524,0.32665303349494934
0.5856726765632629,0.7790147662162781,18,189,,
,,18,189,0.11719147861003876,0.5517328381538391
0.5569664239883423,0.7490256428718567,19,199,,
,,19,199,0.1322803795337677,0.25923314690589905
0.5571354031562805,0.7125252485275269,20,209,,
,,20,209,0.09414029121398926,0.2288137525320053
