train_Total_Loss,train_MAE,train_RMSE,epoch,step
2.819101095199585,1.6790179014205933,1.6790179014205933,0,0
2.3972437381744385,1.548303484916687,1.548303484916687,1,1
1.9901490211486816,1.4107264280319214,1.4107264280319214,2,2
1.6850054264068604,1.2980775833129883,1.2980775833129883,3,3
1.3070894479751587,1.1432801485061646,1.1432801485061646,4,4
0.8537878394126892,0.9240064024925232,0.9240064024925232,5,5
0.47995737195014954,0.6927895545959473,0.6927895545959473,6,6
0.18252694606781006,0.42723172903060913,0.42723172903060913,7,7
0.01882724091410637,0.13721239566802979,0.13721239566802979,8,8
0.023116379976272583,0.15204071998596191,0.15204071998596191,9,9
0.10811740905046463,0.3288121223449707,0.3288121223449707,10,10
0.0839371606707573,0.2897191047668457,0.2897191047668457,11,11
0.17060787975788116,0.41304707527160645,0.41304707527160645,12,12
0.0005794521421194077,0.024071812629699707,0.024071812629699707,13,13
0.04339911788702011,0.20832455158233643,0.20832455158233643,14,14
0.007101854775100946,0.08427250385284424,0.08427250385284424,15,15
0.021934816613793373,0.14810407161712646,0.14810407161712646,16,16
0.0052375453524291515,0.07237088680267334,0.07237088680267334,17,17
0.0012112179538235068,0.03480255603790283,0.03480255603790283,18,18
0.007669206243008375,0.08757400512695312,0.08757400512695312,19,19
0.002853639889508486,0.05341947078704834,0.05341947078704834,20,20
0.0007123309769667685,0.026689529418945312,0.026689529418945312,21,21
0.0052747949957847595,0.07262778282165527,0.07262778282165527,22,22
0.0018958355067297816,0.04354119300842285,0.04354119300842285,23,23
1.4486505278910045e-05,0.0038061141967773438,0.0038061141967773438,24,24
0.0009888047352433205,0.03144526481628418,0.03144526481628418,25,25
0.0015605512307956815,0.03950381278991699,0.03950381278991699,26,26
0.00026673910906538367,0.016332149505615234,0.016332149505615234,27,27
0.0003606532991398126,0.01899087429046631,0.01899087429046631,28,28
0.0013686692109331489,0.036995530128479004,0.036995530128479004,29,29
0.0004811488324776292,0.021935105323791504,0.021935105323791504,30,30
0.00012528941442724317,0.011193275451660156,0.011193275451660156,31,31
0.0009852541843429208,0.03138875961303711,0.03138875961303711,32,32
0.0003802460269071162,0.019499897956848145,0.019499897956848145,33,33
0.0002885529538616538,0.016986846923828125,0.016986846923828125,34,34
0.0009317519143223763,0.030524611473083496,0.030524611473083496,35,35
1.808522029023152e-05,0.00425267219543457,0.00425267219543457,36,36
0.0005978172994218767,0.024450302124023438,0.024450302124023438,37,37
0.00044728690409101546,0.021149158477783203,0.021149158477783203,38,38
6.129060784587637e-05,0.007828831672668457,0.007828831672668457,39,39
0.0006065757479518652,0.024628758430480957,0.024628758430480957,40,40
4.827628072234802e-05,0.006948113441467285,0.006948113441467285,41,41
0.00031367261544801295,0.01771080493927002,0.01771080493927002,42,42
0.00031081202905625105,0.01762986183166504,0.01762986183166504,43,43
2.197869252995588e-05,0.004688143730163574,0.004688143730163574,44,44
0.00036280721542425454,0.01904749870300293,0.01904749870300293,45,45
4.103160972590558e-05,0.00640559196472168,0.00640559196472168,46,46
0.00017297205340582877,0.013151884078979492,0.013151884078979492,47,47
0.00019447253725957125,0.013945341110229492,0.013945341110229492,48,48
9.395625966135412e-06,0.0030652284622192383,0.0030652284622192383,49,49
0.00021299059153534472,0.014594197273254395,0.014594197273254395,50,50
3.065477358177304e-05,0.005536675453186035,0.005536675453186035,51,51
9.435731044504791e-05,0.00971376895904541,0.00971376895904541,52,52
0.00012063130998285487,0.01098322868347168,0.01098322868347168,53,53
3.4291524571017362e-06,0.001851797103881836,0.001851797103881836,54,54
0.00012391085328999907,0.011131525039672852,0.011131525039672852,55,55
2.2957312467042357e-05,0.004791378974914551,0.004791378974914551,56,56
5.013425834476948e-05,0.007080554962158203,0.007080554962158203,57,57
7.516015466535464e-05,0.008669495582580566,0.008669495582580566,58,58
9.326043937107897e-07,0.0009657144546508789,0.0009657144546508789,59,59
7.17459261068143e-05,0.008470296859741211,0.008470296859741211,60,60
1.674623490544036e-05,0.004092216491699219,0.004092216491699219,61,61
2.6493860787013546e-05,0.005147218704223633,0.005147218704223633,62,62
4.647776222554967e-05,0.006817460060119629,0.006817460060119629,63,63
1.913002876108294e-07,0.0004373788833618164,0.0004373788833618164,64,64
4.167092629359104e-05,0.0064553022384643555,0.0064553022384643555,65,65
1.1378114322724286e-05,0.0033731460571289062,0.0033731460571289062,66,66
1.449013507226482e-05,0.003806591033935547,0.003806591033935547,67,67
