val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
0.724118709564209,3.81840443611145,0,9,,
,,0,9,0.752079427242279,4.826752662658691
0.637266993522644,1.7125864028930664,1,19,,
,,1,19,0.5420947074890137,3.083203077316284
0.5927944779396057,1.144702434539795,2,29,,
,,2,29,0.3529307246208191,1.134395718574524
0.5211663842201233,1.0997129678726196,3,39,,
,,3,39,0.3258925974369049,1.3001703023910522
0.4828401803970337,0.9363211393356323,4,49,,
,,4,49,0.24648967385292053,0.5445495843887329
0.5903736352920532,1.0218732357025146,5,59,,
,,5,59,0.21672311425209045,0.4600444734096527
0.5834759473800659,1.6126230955123901,6,69,,
,,6,69,0.2302941530942917,0.6729336380958557
0.5240933895111084,0.8655464053153992,7,79,,
,,7,79,0.22886238992214203,0.44521161913871765
0.4844024181365967,0.701950192451477,8,89,,
,,8,89,0.2030583918094635,1.0154954195022583
0.4324978291988373,0.5769708156585693,9,99,,
,,9,99,0.21497301757335663,0.3653576672077179
0.38157913088798523,0.7806280255317688,10,109,,
,,10,109,0.17800694704055786,0.3627795875072479
0.5533785223960876,0.8324413299560547,11,119,,
,,11,119,0.15617437660694122,0.33393457531929016
0.46005669236183167,0.9732750058174133,12,129,,
,,12,129,0.18248681724071503,0.40652599930763245
0.43861016631126404,0.6029346585273743,13,139,,
,,13,139,0.15070264041423798,0.33788931369781494
0.43713289499282837,0.7060362100601196,14,149,,
,,14,149,0.17433834075927734,0.3757762014865875
0.5423860549926758,0.8658475279808044,15,159,,
,,15,159,0.18090254068374634,0.4216557443141937
0.4908186197280884,0.7676880359649658,16,169,,
,,16,169,0.14848434925079346,0.3010927736759186
0.46155285835266113,0.900296151638031,17,179,,
,,17,179,0.15702520310878754,0.25106364488601685
0.5173844695091248,0.7561526298522949,18,189,,
,,18,189,0.15504977107048035,0.4435292184352875
0.41571351885795593,0.7505240440368652,19,199,,
,,19,199,0.1354435533285141,0.25282689929008484
0.4719095826148987,0.5588869452476501,20,209,,
,,20,209,0.13465732336044312,0.34030643105506897
0.48441800475120544,0.7116382718086243,21,219,,
,,21,219,0.12735135853290558,0.24784670770168304
0.41766083240509033,0.8263331651687622,22,229,,
,,22,229,0.09807638823986053,0.18827004730701447
0.47340166568756104,0.6747803092002869,23,239,,
,,23,239,0.09792662411928177,0.21047072112560272
0.45601344108581543,0.738587498664856,24,249,,
,,24,249,0.09261481463909149,0.18262147903442383
0.5143561959266663,0.8237786293029785,25,259,,
,,25,259,0.08407910168170929,0.16440819203853607
0.42138996720314026,0.6718651056289673,26,269,,
,,26,269,0.14222805202007294,0.36980247497558594
0.40187177062034607,0.7241990566253662,27,279,,
,,27,279,0.13947328925132751,0.2323179543018341
0.43827006220817566,0.7162759304046631,28,289,,
,,28,289,0.09324284642934799,0.187938392162323
0.40250855684280396,0.6752222180366516,29,299,,
,,29,299,0.07817678153514862,0.17874589562416077
0.3835836350917816,0.7565207481384277,30,309,,
,,30,309,0.0817425400018692,0.15616174042224884
0.41835665702819824,0.6707127094268799,31,319,,
,,31,319,0.07379896938800812,0.1581745147705078
0.4620904326438904,0.7223906517028809,32,329,,
,,32,329,0.0958576574921608,0.19426053762435913
0.47500845789909363,0.745516300201416,33,339,,
,,33,339,0.0929044857621193,0.18791349232196808
0.47657719254493713,0.8554402589797974,34,349,,
,,34,349,0.08085217326879501,0.17415384948253632
0.40975749492645264,0.7958394289016724,35,359,,
,,35,359,0.08738203346729279,0.17210522294044495
0.4832659363746643,0.7304231524467468,36,369,,
,,36,369,0.10435912758111954,0.20700876414775848
0.4559616148471832,0.7381987571716309,37,379,,
,,37,379,0.11122125387191772,0.29935500025749207
0.427695631980896,0.7517759203910828,38,389,,
,,38,389,0.08123840391635895,0.15496881306171417
0.4386354684829712,0.7260356545448303,39,399,,
,,39,399,0.08595144748687744,0.16559797525405884
0.45518243312835693,0.6498198509216309,40,409,,
,,40,409,0.08556411415338516,0.19322702288627625
0.48033127188682556,0.63630610704422,41,419,,
,,41,419,0.08310196548700333,0.16806043684482574
0.43624451756477356,0.8087334632873535,42,429,,
,,42,429,0.0846509039402008,0.18137316405773163
0.42756566405296326,0.6430935263633728,43,439,,
,,43,439,0.06496167182922363,0.13003551959991455
0.4322914779186249,0.6475428342819214,44,449,,
,,44,449,0.07169738411903381,0.14041052758693695
0.4213266372680664,0.6549019813537598,45,459,,
,,45,459,0.05370128154754639,0.1126142144203186
0.4736521244049072,0.7100960612297058,46,469,,
,,46,469,0.07567688077688217,0.14755834639072418
0.43941396474838257,0.7258844375610352,47,479,,
,,47,479,0.08282256126403809,0.1963125467300415
0.4618256688117981,0.8095734119415283,48,489,,
,,48,489,0.06668233126401901,0.12360798567533493
0.4850710332393646,0.7623069286346436,49,499,,
,,49,499,0.09840183705091476,0.26191580295562744
