val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
0.7037243843078613,1.5070041418075562,0,9,,
,,0,9,0.8019253611564636,3.038553476333618
0.6101219058036804,1.165708303451538,1,19,,
,,1,19,0.48566707968711853,1.4477986097335815
0.5449020266532898,0.7417712211608887,2,29,,
,,2,29,0.3502293527126312,6.182869911193848
0.47176527976989746,0.6148118376731873,3,39,,
,,3,39,0.24558031558990479,0.48622265458106995
0.5030645132064819,0.6064479947090149,4,49,,
,,4,49,0.23862342536449432,0.6219846606254578
0.41699665784835815,0.6786898374557495,5,59,,
,,5,59,0.2311021387577057,0.3897942900657654
0.6060466170310974,0.6605703234672546,6,69,,
,,6,69,0.20694378018379211,0.5062055587768555
0.4710666835308075,0.6392436027526855,7,79,,
,,7,79,0.2511248290538788,0.474609375
0.4969679117202759,0.7221164703369141,8,89,,
,,8,89,0.22807356715202332,1.006565809249878
0.4089277386665344,0.524715781211853,9,99,,
,,9,99,0.20687556266784668,0.3602333962917328
0.5281498432159424,0.5563907623291016,10,109,,
,,10,109,0.21696865558624268,0.41263893246650696
0.47249895334243774,0.6308008432388306,11,119,,
,,11,119,0.16169781982898712,0.6319285035133362
0.3856322169303894,0.5357640981674194,12,129,,
,,12,129,0.13967487215995789,0.4850812256336212
0.4074763357639313,0.5205854773521423,13,139,,
,,13,139,0.13644330203533173,0.29405510425567627
0.41296109557151794,0.5292953848838806,14,149,,
,,14,149,0.12420344352722168,0.23866935074329376
0.4664405882358551,0.5785029530525208,15,159,,
,,15,159,0.13670845329761505,0.3262845277786255
0.3940252661705017,0.5398983955383301,16,169,,
,,16,169,0.1475072205066681,0.300258070230484
0.3964668810367584,0.5410622358322144,17,179,,
,,17,179,0.14577226340770721,0.31021228432655334
0.3979121148586273,0.5015386939048767,18,189,,
,,18,189,0.13595740497112274,0.2794587016105652
0.36808475852012634,0.4815060496330261,19,199,,
,,19,199,0.10055240243673325,0.19565482437610626
0.41210564970970154,0.5509485006332397,20,209,,
,,20,209,0.12165522575378418,0.25956395268440247
0.3989717960357666,0.5519343018531799,21,219,,
,,21,219,0.10670128464698792,0.20640446245670319
0.4242629408836365,0.6024619936943054,22,229,,
,,22,229,0.10872850567102432,0.2064305543899536
0.41410601139068604,0.5154665112495422,23,239,,
,,23,239,0.1636969894170761,1.8324912786483765
0.4150222837924957,0.5711356997489929,24,249,,
,,24,249,0.09878512471914291,0.19394777715206146
0.42126044631004333,0.5733503699302673,25,259,,
,,25,259,0.08420354127883911,0.15677694976329803
0.4015185832977295,0.5240638852119446,26,269,,
,,26,269,0.09038884192705154,0.18239127099514008
0.39379191398620605,0.5731216669082642,27,279,,
,,27,279,0.10195829719305038,0.2999674379825592
0.4044158458709717,0.5139632821083069,28,289,,
,,28,289,0.09859567880630493,0.1995651125907898
0.38071781396865845,0.5453411936759949,29,299,,
,,29,299,0.1035013496875763,0.20727157592773438
0.4594566822052002,0.6234713792800903,30,309,,
,,30,309,0.13230779767036438,3.341489791870117
0.4071986973285675,0.519533634185791,31,319,,
,,31,319,0.13971951603889465,0.293649286031723
0.38986945152282715,0.5613133907318115,32,329,,
,,32,329,0.11358898878097534,0.2514170706272125
0.37882885336875916,0.528048038482666,33,339,,
,,33,339,0.08671673387289047,0.16283191740512848
0.4362780451774597,0.5778795480728149,34,349,,
,,34,349,0.10429906100034714,0.22699642181396484
0.4010232388973236,0.590806782245636,35,359,,
,,35,359,0.10496751964092255,0.3603553771972656
0.425914466381073,0.6050287485122681,36,369,,
,,36,369,0.12979403138160706,0.2614807188510895
0.4259811341762543,0.8017500638961792,37,379,,
,,37,379,0.12132544070482254,0.31786954402923584
0.4194171130657196,0.6954019665718079,38,389,,
,,38,389,0.13919669389724731,0.3412155210971832
0.40055787563323975,0.6256649494171143,39,399,,
,,39,399,0.12800277769565582,0.2758875787258148
0.3992113769054413,0.5623142123222351,40,409,,
,,40,409,0.11982041597366333,0.3786928653717041
0.4578717350959778,0.5967164039611816,41,419,,
,,41,419,0.10395436733961105,0.22856110334396362
0.3156885802745819,0.5283863544464111,42,429,,
,,42,429,0.11536499112844467,0.2101755440235138
0.46638718247413635,0.5937308669090271,43,439,,
,,43,439,0.10347297042608261,0.21826942265033722
0.35202738642692566,0.5518175363540649,44,449,,
,,44,449,0.13065485656261444,0.26926833391189575
0.4323211908340454,0.6004194021224976,45,459,,
,,45,459,0.10046494752168655,0.20962269604206085
0.38233888149261475,0.584014356136322,46,469,,
,,46,469,0.08368352055549622,0.17658400535583496
0.4188832640647888,0.5979172587394714,47,479,,
,,47,479,0.08790631592273712,0.35625162720680237
0.371612548828125,0.5567725896835327,48,489,,
,,48,489,0.10645502805709839,0.202353835105896
0.38519808650016785,0.5089653134346008,49,499,,
,,49,499,0.09005746245384216,0.19534136354923248
