index,mpd_id,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
1,mp-861724,4.819614887237549,2.95318865776062,3.793811798095703,4.540423393249512,3.822181224822998,4.8553924560546875,3.569349765777588,3.1540074348449707,3.707414150238037
2,mp-1183076,3.7808432579040527,2.9087448120117188,3.8110222816467285,4.545660495758057,4.267182350158691,4.152270793914795,2.891021966934204,2.811906099319458,3.5648088455200195
3,mp-1183068,3.5148534774780273,2.9644062519073486,4.603871822357178,4.543201923370361,2.904010772705078,3.7822718620300293,4.071063041687012,3.000123977661133,3.522462844848633
4,mp-1183063,3.6207947731018066,2.982456684112549,4.375736713409424,4.543551445007324,4.934521675109863,4.132505893707275,3.278925895690918,4.767807483673096,3.816155433654785
5,mp-1183086,4.267455577850342,4.652518272399902,4.686973571777344,4.543837547302246,5.2841081619262695,3.2983031272888184,3.4084391593933105,6.764867305755615,4.152087688446045
6,mp-862319,3.687347888946533,2.9761242866516113,3.9198474884033203,4.537814617156982,4.114579677581787,5.201088905334473,3.189146041870117,5.0229363441467285,4.170218467712402
7,mp-862786,4.00183629989624,2.9513943195343018,5.036505222320557,4.54553747177124,4.873946189880371,4.059030532836914,3.663447856903076,5.364376544952393,3.6402859687805176
8,mp-861883,4.48160982131958,2.9492485523223877,3.9882941246032715,4.5441508293151855,3.389070987701416,4.248079299926758,4.1987833976745605,3.3538966178894043,3.786928176879883
9,mp-867122,3.9168624877929688,2.967017650604248,4.05046272277832,4.5452094078063965,4.744972229003906,4.15035343170166,3.856106758117676,3.143721103668213,3.3515496253967285
10,mp-865470,4.375264644622803,2.952693462371826,4.069543838500977,4.540622234344482,4.198770046234131,5.006619930267334,3.532806396484375,5.6562323570251465,4.029510974884033
11,mp-862683,3.6977591514587402,2.9175360202789307,5.38823938369751,4.545910358428955,2.954561710357666,3.713174343109131,4.6038432121276855,3.0497264862060547,3.3527512550354004
12,mp-1183054,3.551827907562256,2.9641873836517334,4.892251014709473,4.542551040649414,3.626065731048584,4.066282749176025,3.8694472312927246,2.942673921585083,3.336329936981201
13,mp-867241,6.6320319175720215,3.894580841064453,6.706141948699951,4.54541540145874,6.209451675415039,5.337687015533447,3.798140525817871,8.199125289916992,6.89047908782959
