val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
0.675430178642273,4.995225429534912,0,9,,
,,0,9,0.8020902276039124,5.580467700958252
0.6369004249572754,3.2092444896698,1,19,,
,,1,19,0.5807269811630249,2.97489333152771
0.5257298946380615,1.4825841188430786,2,29,,
,,2,29,0.3755222260951996,1.4576104879379272
0.4113546907901764,1.3768647909164429,3,39,,
,,3,39,0.39651012420654297,1.239506721496582
0.37448394298553467,0.990087628364563,4,49,,
,,4,49,0.3005971908569336,0.642987072467804
0.38099679350852966,0.8027220964431763,5,59,,
,,5,59,0.2455313801765442,0.6389048099517822
0.3432787358760834,0.914503812789917,6,69,,
,,6,69,0.19876791536808014,0.446144700050354
0.3085678219795227,0.6929011344909668,7,79,,
,,7,79,0.19722570478916168,0.5659575462341309
0.30098238587379456,0.552420437335968,8,89,,
,,8,89,0.20731647312641144,0.7457271814346313
0.34424757957458496,1.3921899795532227,9,99,,
,,9,99,0.17096777260303497,0.36455273628234863
0.3250803053379059,0.4763408601284027,10,109,,
,,10,109,0.1931351274251938,0.6636157631874084
0.273156076669693,0.5326209664344788,11,119,,
,,11,119,0.18958169221878052,0.4766085743904114
0.3084261417388916,0.7491903305053711,12,129,,
,,12,129,0.1818796843290329,0.37907955050468445
0.2905542552471161,0.5522693991661072,13,139,,
,,13,139,0.1995762437582016,0.6199820637702942
0.3145671784877777,0.7199632525444031,14,149,,
,,14,149,0.12723325192928314,0.2677290141582489
0.266167014837265,0.4929669499397278,15,159,,
,,15,159,0.1467858999967575,0.3648437559604645
0.2829270660877228,0.779324471950531,16,169,,
,,16,169,0.13697709143161774,0.29518184065818787
0.25050440430641174,0.48669007420539856,17,179,,
,,17,179,0.14769409596920013,0.5431113243103027
0.25373485684394836,2.1163437366485596,18,189,,
,,18,189,0.13859346508979797,0.25079482793807983
0.3123244047164917,0.5581133961677551,19,199,,
,,19,199,0.12389780580997467,0.32247599959373474
0.3423331379890442,0.6257218718528748,20,209,,
,,20,209,0.1268041580915451,0.24001792073249817
0.33700665831565857,0.7852320075035095,21,219,,
,,21,219,0.14089848101139069,0.24795067310333252
0.31333744525909424,0.5378425717353821,22,229,,
,,22,229,0.12371113151311874,0.35271087288856506
0.3884308636188507,1.0139299631118774,23,239,,
,,23,239,0.12711501121520996,0.2563043534755707
0.31670740246772766,0.6313878297805786,24,249,,
,,24,249,0.19051113724708557,0.5167261362075806
0.2972155511379242,0.7035743594169617,25,259,,
,,25,259,0.13159725069999695,0.25419989228248596
0.25059881806373596,0.5698248147964478,26,269,,
,,26,269,0.12664683163166046,0.2861119210720062
0.23348574340343475,0.471788614988327,27,279,,
,,27,279,0.08205891400575638,0.1817118376493454
0.2444930374622345,0.5650900602340698,28,289,,
,,28,289,0.08157400041818619,0.19610293209552765
0.28684201836586,0.5905038118362427,29,299,,
,,29,299,0.10766977071762085,0.21158786118030548
0.24919164180755615,0.5627822875976562,30,309,,
,,30,309,0.09863215684890747,0.19152314960956573
0.26131466031074524,0.4575711190700531,31,319,,
,,31,319,0.08356260508298874,0.2141907662153244
0.2655843496322632,0.612946629524231,32,329,,
,,32,329,0.09401161968708038,0.18152892589569092
0.27415525913238525,0.5042697787284851,33,339,,
,,33,339,0.08752091974020004,0.17889368534088135
0.27689939737319946,0.5350143313407898,34,349,,
,,34,349,0.08503443002700806,0.17378224432468414
0.29039818048477173,0.542598307132721,35,359,,
,,35,359,0.09885824471712112,0.26304206252098083
0.2904404103755951,0.5541067123413086,36,369,,
,,36,369,0.10152493417263031,0.25734004378318787
0.2677687108516693,0.5223243832588196,37,379,,
,,37,379,0.10143035650253296,0.20720019936561584
0.26601308584213257,0.665384829044342,38,389,,
,,38,389,0.08209910988807678,0.16809925436973572
0.2577569782733917,0.47896283864974976,39,399,,
,,39,399,0.09184456616640091,0.28350338339805603
0.2879364490509033,0.6669303774833679,40,409,,
,,40,409,0.09293987601995468,0.2095145881175995
0.2683298885822296,0.6587969064712524,41,419,,
,,41,419,0.10233443975448608,0.19540363550186157
0.30453211069107056,0.4660049378871918,42,429,,
,,42,429,0.12535011768341064,0.37438908219337463
0.31345176696777344,0.7258183360099792,43,439,,
,,43,439,0.11890213191509247,0.25685983896255493
0.2620772421360016,0.4806254506111145,44,449,,
,,44,449,0.10881943255662918,0.23127593100070953
0.2901695668697357,0.5367705225944519,45,459,,
,,45,459,0.08119317889213562,0.17335368692874908
0.32085639238357544,0.643449604511261,46,469,,
,,46,469,0.07992566376924515,2.295445442199707
0.28221485018730164,0.46096479892730713,47,479,,
,,47,479,0.0915137231349945,0.3523818254470825
0.26134803891181946,0.608877956867218,48,489,,
,,48,489,0.08310981839895248,0.1739215850830078
0.2972838580608368,0.4992945194244385,49,499,,
,,49,499,0.09243462979793549,0.18984168767929077
