val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
0.6261839270591736,1.8277112245559692,0,9,,
,,0,9,0.8140863180160522,5.088334083557129
0.52511066198349,1.1239032745361328,1,19,,
,,1,19,0.57667076587677,3.165789842605591
0.5709647536277771,0.5987380146980286,2,29,,
,,2,29,0.4108375608921051,4.347381591796875
0.4808412790298462,0.603923499584198,3,39,,
,,3,39,0.3696919083595276,1.114272952079773
0.4730382263660431,0.6490383148193359,4,49,,
,,4,49,0.36230000853538513,0.5949444770812988
0.42371508479118347,0.5544803738594055,5,59,,
,,5,59,0.2866517901420593,1.0657151937484741
0.4989751875400543,0.8640661835670471,6,69,,
,,6,69,0.23329584300518036,0.5720363855361938
0.49648183584213257,0.7476488351821899,7,79,,
,,7,79,0.22904212772846222,1.1771881580352783
0.438556969165802,0.7513333559036255,8,89,,
,,8,89,0.1881478726863861,0.7156160473823547
0.5302109718322754,0.6603944897651672,9,99,,
,,9,99,0.19634947180747986,0.561568558216095
0.406059205532074,0.9063206911087036,10,109,,
,,10,109,0.14832918345928192,0.3263731300830841
0.49866873025894165,0.587116539478302,11,119,,
,,11,119,0.21924518048763275,0.6093745231628418
0.4464533030986786,0.8065855503082275,12,129,,
,,12,129,0.20757900178432465,0.49851638078689575
0.5312860608100891,0.6641557812690735,13,139,,
,,13,139,0.1901010274887085,0.45397764444351196
0.5079919099807739,0.6310263276100159,14,149,,
,,14,149,0.1560087651014328,0.33073610067367554
0.39155539870262146,0.5556063652038574,15,159,,
,,15,159,0.14952166378498077,0.2638668417930603
0.49736425280570984,0.6345872282981873,16,169,,
,,16,169,0.1248810812830925,0.37953394651412964
0.40096545219421387,0.6764553785324097,17,179,,
,,17,179,0.12558254599571228,0.4403555989265442
0.4959315359592438,0.6531980633735657,18,189,,
,,18,189,0.14744111895561218,0.571839451789856
0.4736925959587097,0.6613568663597107,19,199,,
,,19,199,0.11862604320049286,0.26321011781692505
0.4554298222064972,0.6486282348632812,20,209,,
,,20,209,0.11609393358230591,0.2670676112174988
0.48357096314430237,0.551485002040863,21,219,,
,,21,219,0.10845134407281876,0.21127979457378387
0.4162696599960327,0.5640977621078491,22,229,,
,,22,229,0.09163884818553925,0.17458122968673706
0.5598254203796387,0.6165592074394226,23,239,,
,,23,239,0.11083956807851791,0.24297964572906494
0.41255608201026917,0.5322393178939819,24,249,,
,,24,249,0.12223878502845764,0.23422783613204956
0.4544052183628082,0.6716083884239197,25,259,,
,,25,259,0.12352635711431503,0.30424317717552185
0.4873986542224884,0.5872015953063965,26,269,,
,,26,269,0.11518775671720505,0.23430080711841583
0.4452138841152191,0.6074715852737427,27,279,,
,,27,279,0.10620242357254028,0.2148473858833313
0.42185717821121216,0.6372783780097961,28,289,,
,,28,289,0.09605101495981216,0.18569211661815643
0.504013180732727,0.6558747291564941,29,299,,
,,29,299,0.11153718084096909,0.2648545801639557
0.5590758919715881,0.6144129037857056,30,309,,
,,30,309,0.13383416831493378,0.30184823274612427
