val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
0.6821736097335815,6.418158054351807,0,9,,
,,0,9,0.7835367321968079,4.4383039474487305
0.45517995953559875,1.8835519552230835,1,19,,
,,1,19,0.5457103848457336,2.822990894317627
0.46096405386924744,2.147764205932617,2,29,,
,,2,29,0.373688668012619,1.1875367164611816
0.34867700934410095,0.9808249473571777,3,39,,
,,3,39,0.2832993268966675,0.8592678904533386
0.4153311252593994,0.6372161507606506,4,49,,
,,4,49,0.25825440883636475,1.1114892959594727
0.3460819721221924,1.1948812007904053,5,59,,
,,5,59,0.24576300382614136,0.4725504517555237
0.5927843451499939,0.7057404518127441,6,69,,
,,6,69,0.2439633160829544,0.7983168363571167
0.38575097918510437,1.1882439851760864,7,79,,
,,7,79,0.3006678819656372,0.5601884126663208
0.39315783977508545,1.06526780128479,8,89,,
,,8,89,0.19986872375011444,0.8364323377609253
0.3890971541404724,1.068374752998352,9,99,,
,,9,99,0.2133270502090454,0.4834069609642029
0.3238629400730133,0.638394832611084,10,109,,
,,10,109,0.17316077649593353,0.36865049600601196
0.36728882789611816,1.2944468259811401,11,119,,
,,11,119,0.15920905768871307,0.3604092299938202
0.38281622529029846,0.7993709444999695,12,129,,
,,12,129,0.22191180288791656,0.4975908100605011
0.29048433899879456,0.6084340810775757,13,139,,
,,13,139,0.16653653979301453,0.3415118157863617
0.3322436809539795,1.0767316818237305,14,149,,
,,14,149,0.165263369679451,0.9638720154762268
0.31157436966896057,0.660161018371582,15,159,,
,,15,159,0.18162879347801208,0.5513299107551575
0.2505527138710022,0.6721982955932617,16,169,,
,,16,169,0.13845807313919067,0.2677176296710968
0.2828018069267273,0.6353736519813538,17,179,,
,,17,179,0.15087856352329254,0.4564060866832733
0.27475184202194214,0.7538241147994995,18,189,,
,,18,189,0.13471099734306335,0.2539968192577362
0.25392255187034607,0.5791794657707214,19,199,,
,,19,199,0.12081148475408554,0.2398717999458313
0.35910582542419434,0.7225030660629272,20,209,,
,,20,209,0.10972602665424347,0.8424035906791687
0.28420302271842957,0.6766237616539001,21,219,,
,,21,219,0.12493985891342163,0.25382277369499207
0.33805811405181885,0.6912492513656616,22,229,,
,,22,229,0.11800847202539444,0.28114113211631775
0.25266093015670776,0.7258505821228027,23,239,,
,,23,239,0.11828615516424179,0.24457389116287231
0.3395237922668457,0.6791282296180725,24,249,,
,,24,249,0.11521350592374802,0.3328842520713806
0.3009558618068695,0.7652925252914429,25,259,,
,,25,259,0.11693296581506729,0.2901759743690491
0.3001784384250641,0.8316977024078369,26,269,,
,,26,269,0.10171618312597275,0.41481053829193115
0.2476363182067871,0.6423669457435608,27,279,,
,,27,279,0.08486218005418777,0.17838385701179504
0.27143383026123047,0.6155789494514465,28,289,,
,,28,289,0.08482487499713898,0.3925497531890869
0.2740252912044525,0.669808030128479,29,299,,
,,29,299,0.07498300820589066,0.16020604968070984
0.2709527015686035,0.6576166152954102,30,309,,
,,30,309,0.07694768905639648,0.17153038084506989
0.27889564633369446,0.6681454181671143,31,319,,
,,31,319,0.07734978944063187,0.1619081348180771
0.2776852548122406,0.6361883282661438,32,329,,
,,32,329,0.1001254990696907,0.19981695711612701
0.29733216762542725,0.6817916035652161,33,339,,
,,33,339,0.10195320099592209,0.2966611087322235
0.24616046249866486,0.6606141328811646,34,349,,
,,34,349,0.10409647226333618,0.22009798884391785
0.26456698775291443,0.6387925744056702,35,359,,
,,35,359,0.07847096025943756,0.1731792837381363
0.28850501775741577,0.639062225818634,36,369,,
,,36,369,0.08186826854944229,0.15879212319850922
0.27126970887184143,0.6886832118034363,37,379,,
,,37,379,0.08480067551136017,0.16884340345859528
0.2661275565624237,0.6214567422866821,38,389,,
,,38,389,0.1015942171216011,0.20791608095169067
0.23703333735466003,0.6087521910667419,39,399,,
,,39,399,0.08942359685897827,0.17508764564990997
0.24739845097064972,0.693009078502655,40,409,,
,,40,409,0.07950598001480103,0.1618082970380783
0.3052499294281006,0.7098657488822937,41,419,,
,,41,419,0.08217909187078476,0.15784092247486115
0.2948872745037079,0.7044005990028381,42,429,,
,,42,429,0.07585110515356064,0.15709498524665833
0.22438466548919678,0.6243119239807129,43,439,,
,,43,439,0.09283838421106339,0.18023067712783813
0.3375976085662842,0.6887431144714355,44,449,,
,,44,449,0.11209256947040558,0.2719903588294983
0.2687433362007141,0.681423008441925,45,459,,
,,45,459,0.12945623695850372,0.23825158178806305
0.3024764955043793,0.7578123807907104,46,469,,
,,46,469,0.089597187936306,0.21685142815113068
0.2768973708152771,0.771374523639679,47,479,,
,,47,479,0.09186357259750366,0.19246073067188263
0.29964369535446167,0.7591458559036255,48,489,,
,,48,489,0.08330205827951431,0.18438372015953064
0.27309876680374146,0.7410524487495422,49,499,,
,,49,499,0.08011151850223541,0.171640545129776
