epoch,train loss,val loss,swa
0.0,89.05871920338993,214.1549958806289,n
1.0,10.822931521925433,51.42504549026489,y
3.0,8.727112293243408,45.86317329657705,y
5.0,17.560065020774974,68.922317040594,y
7.0,20.338007994766894,23.861816657216924,y
9.0,8.799340870873682,17.227681574068573,y
11.0,20.6154967608123,32.456483138234994,y
13.0,11.020888234006948,37.911553621292114,y
15.0,9.678201698023697,39.05845476451673,y
17.0,15.785139277063568,62.073457404186854,y
19.0,15.016544017298468,53.47398042678833,y
