val_Total_Loss,val_mape,epoch,step,train_Total_Loss,train_mape
1.1890219449996948,16.923370361328125,0,9,,
,,0,9,0.7509274482727051,3.5304114818573
0.6759622097015381,1.6774966716766357,1,19,,
,,1,19,0.7291106581687927,5.675474643707275
0.7069874405860901,6.312266826629639,2,29,,
,,2,29,0.36855149269104004,0.8640249371528625
0.5172272324562073,0.9458141326904297,3,39,,
,,3,39,0.29869627952575684,0.7322830557823181
0.5446777939796448,1.443007230758667,4,49,,
,,4,49,0.23846310377120972,0.4732905924320221
0.48168322443962097,0.522330105304718,5,59,,
,,5,59,0.2727704644203186,1.1258753538131714
0.47855105996131897,1.1480731964111328,6,69,,
,,6,69,0.23784182965755463,0.4246397912502289
0.531956672668457,0.9004214406013489,7,79,,
,,7,79,0.18914611637592316,0.5610537528991699
0.44204190373420715,1.0804001092910767,8,89,,
,,8,89,0.23379679024219513,0.6235232949256897
0.44971340894699097,0.7436973452568054,9,99,,
,,9,99,0.18945737183094025,0.41931310296058655
0.45349636673927307,0.8806444406509399,10,109,,
,,10,109,0.20767055451869965,0.48466747999191284
0.44014856219291687,0.7504047751426697,11,119,,
,,11,119,0.20151542127132416,0.5048702359199524
0.4347299337387085,0.7878754734992981,12,129,,
,,12,129,0.13863177597522736,0.2960030734539032
0.4492338001728058,0.8832281231880188,13,139,,
,,13,139,0.17775684595108032,0.33692866563796997
0.3984898030757904,0.5796428918838501,14,149,,
,,14,149,0.1243174821138382,0.34305328130722046
0.3856718838214874,0.603768527507782,15,159,,
,,15,159,0.13194294273853302,0.2682117819786072
0.48300573229789734,0.720577597618103,16,169,,
,,16,169,0.13314299285411835,0.27249449491500854
0.399808794260025,0.6622446179389954,17,179,,
,,17,179,0.1226656585931778,0.23154620826244354
0.4081483781337738,0.5871275067329407,18,189,,
,,18,189,0.10357298702001572,0.23456346988677979
0.4174955189228058,0.6020903587341309,19,199,,
,,19,199,0.11989843100309372,0.4168427586555481
0.4078303277492523,0.674262523651123,20,209,,
,,20,209,0.10681487619876862,0.22927244007587433
0.4182950556278229,0.7108901143074036,21,219,,
,,21,219,0.10943026095628738,0.22724713385105133
0.42791005969047546,0.744117259979248,22,229,,
,,22,229,0.10439744591712952,0.19421233236789703
0.3972212076187134,0.5386423468589783,23,239,,
,,23,239,0.14641468226909637,0.337626188993454
0.38268399238586426,0.512198269367218,24,249,,
,,24,249,0.1069818064570427,0.22513487935066223
0.37176334857940674,0.5838325023651123,25,259,,
,,25,259,0.08376175910234451,0.7489209175109863
0.40087100863456726,0.830546498298645,26,269,,
,,26,269,0.10598725080490112,0.19131462275981903
0.5082243084907532,0.5901560187339783,27,279,,
,,27,279,0.133628249168396,0.30941933393478394
0.487505167722702,1.3342723846435547,28,289,,
,,28,289,0.1766635924577713,0.3098243176937103
0.5408398509025574,0.592668890953064,29,299,,
,,29,299,0.1970151662826538,0.5053586959838867
0.4505740702152252,0.8899582028388977,30,309,,
,,30,309,0.2342076599597931,0.37829655408859253
0.4065093398094177,0.8017290234565735,31,319,,
,,31,319,0.14481420814990997,0.2952180504798889
0.41852614283561707,0.5989797711372375,32,329,,
,,32,329,0.11098355799913406,0.2745867669582367
0.47907981276512146,1.25632905960083,33,339,,
,,33,339,0.12805363535881042,0.28999456763267517
0.4184030592441559,0.592568576335907,34,349,,
,,34,349,0.15380243957042694,0.3386247158050537
0.4099968671798706,0.8556421995162964,35,359,,
,,35,359,0.13033021986484528,0.3353275656700134
0.42342257499694824,0.6012040376663208,36,369,,
,,36,369,0.12570929527282715,0.2814246416091919
0.44393444061279297,0.9766212105751038,37,379,,
,,37,379,0.12066353112459183,0.2459936887025833
0.39152777194976807,0.4664757251739502,38,389,,
,,38,389,0.12455445528030396,0.2910981774330139
0.4217092990875244,1.0041362047195435,39,399,,
,,39,399,0.14637833833694458,0.3562685251235962
0.3931461572647095,0.6721150875091553,40,409,,
,,40,409,0.15578986704349518,0.2767314016819
0.40716874599456787,0.6215497255325317,41,419,,
,,41,419,0.14518125355243683,0.3582121729850769
0.3701119124889374,0.5473859906196594,42,429,,
,,42,429,0.10134679079055786,0.1939043551683426
0.3877338469028473,0.6823673248291016,43,439,,
,,43,439,0.1182466670870781,0.2650721073150635
0.3873108923435211,0.7303937077522278,44,449,,
,,44,449,0.1136149987578392,0.21290306746959686
0.3890506327152252,0.6046181917190552,45,459,,
,,45,459,0.08921153843402863,0.20060782134532928
0.41164422035217285,0.7965522408485413,46,469,,
,,46,469,0.09123927354812622,0.2109862118959427
0.4279654622077942,0.968794047832489,47,479,,
,,47,479,0.09398762881755829,0.1800209879875183
0.4108036160469055,0.6568436622619629,48,489,,
,,48,489,0.08456352353096008,0.16861677169799805
0.3830147385597229,0.9845419526100159,49,499,,
,,49,499,0.0972442626953125,0.22457680106163025
0.37464332580566406,0.4968499541282654,50,509,,
,,50,509,0.14334389567375183,0.3284076452255249
0.4009173512458801,0.5929853320121765,51,519,,
,,51,519,0.10689308494329453,0.26046523451805115
0.4126679301261902,0.728017270565033,52,529,,
,,52,529,0.1150088831782341,0.21105681359767914
0.3780689239501953,0.5479847192764282,53,539,,
,,53,539,0.11375275254249573,0.20423345267772675
0.40422967076301575,0.6047173738479614,54,549,,
,,54,549,0.06889911741018295,0.13473881781101227
0.39355313777923584,0.675014317035675,55,559,,
,,55,559,0.0977165475487709,0.18037743866443634
0.3839583098888397,0.6489526033401489,56,569,,
,,56,569,0.09586385637521744,0.16488566994667053
0.38737764954566956,0.5649495124816895,57,579,,
,,57,579,0.10536956787109375,0.2256893366575241
0.4322008192539215,1.0070178508758545,58,589,,
,,58,589,0.08897002786397934,0.14998388290405273
0.478412926197052,0.660377562046051,59,599,,
,,59,599,0.11357035487890244,0.21467846632003784
0.43721747398376465,1.049680233001709,60,609,,
,,60,609,0.13999372720718384,0.3966042399406433
0.38056880235671997,0.576491117477417,61,619,,
,,61,619,0.12412802875041962,0.23431704938411713
0.38792842626571655,0.5142726898193359,62,629,,
,,62,629,0.09377431869506836,0.22351250052452087
0.44219905138015747,0.917251467704773,63,639,,
,,63,639,0.11693894118070602,0.21615555882453918
0.45556822419166565,0.5199242234230042,64,649,,
,,64,649,0.13180293142795563,0.3729906976222992
0.41388988494873047,0.5993078947067261,65,659,,
,,65,659,0.1776743084192276,0.28205427527427673
0.3889961540699005,0.5474791526794434,66,669,,
,,66,669,0.10705742985010147,0.25420239567756653
0.4108775854110718,0.7459338307380676,67,679,,
